Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST2021135,2021,BRS00031,*None,5.355,Length measured,,No width measured,,No full units counted,,No material scrapped,199.50,Unit price available,.14,14%,937.125,20210101,135,-1.00,20.00,m,1,Insert,2021/12/01,9,175,5.355000000000000,5.3550000000000004,0,937.12500000000011,-1071607683,0,The data value violates integrity constraints.

ST2021136,2021,BRS00032,*None,7.865,Length measured,,No width measured,,No full units counted,,No material scrapped,275.31,Unit price available,.14,14%,1899.3975,20210101,136,-1.00,22.00,m,1,Insert,2021/12/01,9,241.5,7.865000000000000,7.8650000000000002,0,1899.3975,-1071607683,0,The data value violates integrity constraints.

ST2021137,2021,BRS00033,*None,10.975,Length measured,,No width measured,,No full units counted,,No material scrapped,311.22,Unit price available,.14,14%,2996.1750000000002,20210101,137,-1.00,25.00,m,1,Insert,2021/12/01,9,273,10.975000000000000,10.975,0,2996.1749999999997,-1071607683,0,The data value violates integrity constraints.

ST2021138,2021,BRS00034,*None,1.035,Length measured,,No width measured,,No full units counted,,No material scrapped,558.22,Unit price available,.14,14%,506.80500000000001,20210101,138,-1.00,30.00,m,1,Insert,2021/12/01,9,489.66666666666669,1.035000000000000,1.0349999999999999,0,506.80500000000001,-1071607683,0,The data value violates integrity constraints.

ST2021139,2021,BRS00035,*None,2.815,Length measured,,No width measured,,No full units counted,,No material scrapped,642.68,Unit price available,.14,14%,1586.9685959999999,20210101,139,-1.00,32.00,m,1,Insert,2021/12/01,9,563.75438596491233,2.815000000000000,2.8149999999999999,0,1586.9685964912283,-1071607683,0,The data value violates integrity constraints.

ST202114,2021,MST00006,*None,.000,Length measured,,No width measured,,No full units counted,,No material scrapped,23.94,Unit price available,.14,14%,0,20210101,325,-1.00,40.00,m,1,Insert,2021/12/01,9,21,.000000000000000,0,0,0,-1071607683,0,The data value violates integrity constraints.

ST2021140,2021,BRS00036,*None,1.470,Length measured,,No width measured,,No full units counted,,No material scrapped,743.28,Unit price available,.14,14%,958.44000000000005,20210101,140,-1.00,38.00,m,1,Insert,2021/12/01,9,652,1.470000000000000,1.47,0,958.43999999999994,-1071607683,0,The data value violates integrity constraints.

ST2021141,2021,BRS00037,*None,2.045,Length measured,,No width measured,,No full units counted,,No material scrapped,992.18,Unit price available,.14,14%,1779.8316669999999,20210101,141,-1.00,40.00,m,1,Insert,2021/12/01,9,870.33333333333337,2.045000000000000,2.0449999999999999,0,1779.8316666666667,-1071607683,0,The data value violates integrity constraints.

