ST_Transaction_ID,ST_Year,ST_Material_Item_ID,ST_Stock_Take_Comment,ST_Length_Measured_m,ST_Width_Measured_m,ST_Full_Units_Counted,ST_Quantity_Scrapped,ST_Unit_Price_incl_VAT,ST_Source_Quantity_on_Hand_Value_excl_VAT,ST_VAT_Decimal,ST_Length_Measured_Indicator,ST_Width_Measured_Indicator,ST_Full_Units_Counted_Indicator,ST_Material_Scrapped_Indicator,ST_Unit_Price_Available_Indicator,ST_VAT_Percentage,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
ST202189,2021,BRS00022,*None,.850,,,,236.38,176.24824559999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202190,2021,BRS00023,*None,.720,,,,160.74,101.52,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202191,2021,MST00040,*None,7.280,,,,53.18,339.605614,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202192,2021,MST00041,*None,1.620,,,,40.24,57.183157889999997,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202193,2021,MST00042,*None,2.020,,,,93.72,166.0652632,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202194,2021,MST00043,*None,2.745,,,,141.29,340.2114474,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202195,2021,SST00011,*None,2.370,,,,43.22,89.852105260000002,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202196,2021,MST00044,*None,2.320,,,,99.18,201.84,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202197,2021,MST00045,*None,29.470,,,,2.85,73.674999999999997,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202198,2021,MST00046,*None,2.125,,,,2.85,5.3125,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202199,2021,MST00047,*None,12.115,,,,3.51,37.301447369999998,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021100,2021,MST00048,*None,.000,,,,4.67,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021101,2021,MST00049,*None,17.645,,,,7.71,119.33592109999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021102,2021,MST00050,*None,18.335,,,,11.68,187.8533333,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021103,2021,MST00051,*None,34.055,,,,16.95,506.3440789,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021104,2021,MST00052,*None,20.140,,,,26.54,468.87333330000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021105,2021,MST00053,*None,.000,,,,31.19,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST2021106,2021,MST00054,*None,15.985,,,,53.03,743.58293860000003,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

