Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2020,ALM00035,Aluminium,Bar,Square,,9.5 x 9.5,mm,,,,9.5,9.5,,,10.015,,,m,,13.68,0.14,120.18
2020,ALM00036,Aluminium,Bar,Square,,13 x 13,mm,,,,13,13,,,13.065,,,m,,31.35,0.14,359.2875
2020,ALM00037,Aluminium,Bar,Square,,15.82 x 15.82,mm,,,,15.82,15.82,,,9.51,,,m,,48.56,0.14,405.0926316
2020,ALM00038,Aluminium,Bar,Square,,20.28 x 20.28,mm,,,,20.28,20.28,,,6.86,,,m,,72.96,0.14,439.04
2020,ALM00039,Aluminium,Bar,Square,,30.2 x 30.2,mm,,,,30.2,30.2,,,3.1,,,m,,174.42,0.14,474.3
2020,BRS00040,Brass,Bar,Square,,6.35 x 6.35,mm,,,,6.35,6.35,,,6,,,m,,38.3,0.14,201.5789474
2020,BRS00041,Brass,Bar,Square,,8 x 8,mm,,,,8,8,,,5.335,,,m,,47.88,0.14,224.07
2020,BRS00042,Brass,Bar,Square,,9.6 x 9.6,mm,,,,9.6,9.6,,,5.725,,,m,,47.5,0.14,238.5416667
2020,BRS00043,Brass,Bar,Square,,12.7 x 12.7,mm,,,,12.7,12.7,,,4.39,,,m,,98.04,0.14,377.54
2020,BRS00044,Brass,Bar,Square,,38 x 38,mm,,,,38,38,,,0,,,m,,1208.4,0.14,0
2020,MST00065,Mild steel,Bar,Square,,8 x 8,mm,,,,8,8,,,9.155,,,m,,8.33,0.14,66.89574561
2020,MST00066,Mild steel,Bar,Square,,10 x 10,mm,,,,10,10,,,62.24,,,m,,10.75,0.14,586.9122807
2020,MST00067,Mild steel,Bar,Square,,12 x 12,mm,,,,12,12,,,1.02,,,m,,15.47,0.14,13.84157895
2020,MST00067,Mild steel,Bar,Square,,12 x 12,mm,,,,12,12,,,6,,,m,,15.47,0.14,81.42105263
2020,MST00068,Mild steel,Bar,Square,,19 x 19,mm,,,,19,19,,,4.965,,,m,,43.59,0.14,189.8459211
2020,MST00069,Mild steel,Bar,Square,,20 x 20,mm,,,,20,20,,,6,,,m,,43.59,0.14,229.4210526
2020,SST00034,Stainless steel,Bar,Square,,6 x 6,mm,,,,6,6,,,1.68,,,m,,29.64,0.14,43.68
2020,SST00035,Stainless steel,Bar,Square,,10 x 10,mm,,,,10,10,,,2.64,,,m,,55.63,0.14,128.8273684
2020,SST00037,Stainless steel,Bar,Square,,25 x 25,mm,,,,25,25,,,3.2,,,m,,308.96,0.14,867.2561404
2020,GLS00001,Glass,Clip,Conical,POM,NS14,,,No Size units and measurement available,,,,,,,,5,each,,31.05,0.14,136.1842105
2020,GLS00002,Glass,Clip,Conical,POM,NS24,,,No Size units and measurement available,,,,,,,,13,each,,34.1,0.14,388.8596491
2020,GLS00003,Glass,Clip,Conical,POM,NS29,,,No Size units and measurement available,,,,,,,,20,each,,35.49,0.14,622.6315789
